station_cleaned,station_fixed
LEAVING YONGE-SHEPPARD,NA
KENNEDY,NA
BLOOR-DANFORTH LINE,NA
DUNDAS STATION - W/S,NA
ELLESMERE STATION DEPA,NA
GLENCAIRN TO ST GEORGE,NA
UNION STATION TO FINCH,NA
SCARB CENTRE STATION,NA
WARDEN TO VICTORIA PAR,NA
OSGOODE,NA
EGINTON STATION,NA
PIONNER VILLAGE STATIO,NA
SHEPPARD-YONGE TAIL TR,NA
WELLESLEY TO COLLEGE,NA
DOWNSVIEWSTATION,NA
GLENAYR EMERGENCY EXIT,NA
YUS/BD/SRT,NA
DUFFERIN TO LANSDOWNE,NA
KENNEDY TO VICTORIA PA,NA
GREENWOOD TRACK AND ST,NA
ST GEORGE TO LAWRENCE,NA
YONGE/UNIVERSITY & BLO,NA
ELLIS BRIDGE,NA
WARDEN TO KENNEDY STAT,NA
SHEPPARD WEST,NA
SOUTH OF MIDLAND SRT,NA
KEELE TO HIGH PARK STA,NA
WILSON STATION TO YORK,NA
BATHUSRT STATION,NA
SCARBOROUGH SRT LINE,NA
CASTLE FRANK TO SHERBO,NA
BLOOR TO DAVISVILLE,NA
PRINCE EDWARD VIADUCT,NA
ATC TERRITORY,NA
BLOOR/DANFORTH LINE,NA
WILSON STRUCTURE BUILD,NA
DUPONT TO ST CLAIR WES,NA
DONLANDS TO KIPLING ST,NA
BLOOR TO KING STATIONS,NA
169 DANFORTH AVENUE,NA
BLOOR DANFORTH/YONGE U,NA
QUEENS PARK TO ST CLA,NA
YONGE BD STATION BOOTH,NA
KIPLING TO KENNEDY STN,NA
LESLIE STATION APROACH,NA
BROADVIEW TO KIPLING S,NA
YONGE-UNIVERSITY-SPADI,NA
KING STATION TO UNION,NA
KENNEDY BD STATION PLA,NA
BLOOR YONGE LINES,NA
LEAVING KENNEDY STATIO,NA
BLOOR VIA DUCT,NA
KENNEDY SRT TO MCCOWAN,NA
KIPLING TO COXWELL,NA
FINCH STATION TO DUPON,NA
EGLINTON WEST TO VMC,NA
DOWNSVIEW PARK TO VMC,NA
WILSON GARAGE,NA
YONGE UNIVERSITY,NA
E13,NA
DAVISVILLE STATION - L,NA
ST GEORGE TO BROADVIE,NA
OLD MILL TO ISLINGTON,NA
FENMAR AND WESTON,NA
ASQUITH SUBSTATION,NA
MC BRIEN BUILDING,NA
YONGE/UNIVERISITY-BLOO,NA
CHURCH EMERGENCY EXIT,NA
GLENACAIRN STATION,NA
ST ANDREW TO BLOOR STA,NA
SUBWAY CLOSURE - WILSO,NA
YONGE/UINVERSITY & BLO,NA
YONGE/UNIVERSITY BLOOR,NA
OSSINGTION STAITON,NA
BROADVIEW AND DANFORTH,NA
LAWRENCE SUB STATION,NA
YONGE/UNIVERSITY AND B,NA
DANFORTH AND COXWELL,NA
EGLINTON POCKET,NA
WILSON STATION TO VMC,NA
CHANGE OVERS / GENERAL,NA
UNION TO BLOOR STATION,NA
SHEPPARD STATION TO YO,NA
LEAVING YONGE/SHEPPARD,NA
DUPONT MIGRATION POINT,NA
LAWRENCE TO EGLINTON S,NA
YONGE UNIVESITY AND BL,NA
YONGE-UNIVERSITY/BLOOR,NA
KENNEDY TO KIPLING,NA
KENNEDY SRT STATION TO,NA
KIPLING TO HIGH PARK,NA
FINCH TO UNION STATION,NA
SHEPPARD TO BAYVIEW,NA
SHEPPARD WEST TO DOWNS,NA
MOORE GATE,NA
YORKDALE TO DUPONT STA,NA
KING TO S/O ST ANDREW,NA
MCCOWAN PARKING LOT,NA
FINCH TO SHEPPARD WEST,NA
EGLINTON WEST TO ST CL,NA
BLOOR TO EGLINTON STAT,NA
